0,1,2
"[4, 1, 0, 4, 0, 3, 4, 2, 1, 3, 1, 3, 2, 4, 2, 1, 2, 0, 0, 3]","[0.6090464945847908, 0.8788860109421365, 1.0, 0.0, 0.274725633667463]","[0.0, 1.0, 1.0, 0.0, 1.0]"
"[2, 1, 1, 3, 0, 0, 0, 2, 0, 4, 4, 1, 3, 1, 3, 4, 2, 3, 2, 4]","[1.0, 0.5640092829988697, 0.4814908384791809, 0.3885111444039798, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0]"
"[3, 0, 4, 3, 2, 4, 2, 0, 4, 3, 1, 1, 4, 2, 1, 0, 3, 1, 0, 2]","[1.0, 0.940753069169013, 0.0, 0.6473495420356046, 0.3458722667261213]","[0.0, 1.0, 0.0, 1.0, 1.0]"
"[4, 3, 2, 2, 0, 1, 4, 0, 1, 2, 3, 0, 4, 2, 3, 1, 1, 4, 0, 3]","[0.05194697374347205, 0.0, 1.0, 0.3081638254873262, 0.2568592908807147]","[0.0, 1.0, 1.0, 0.0, 1.0]"
"[0, 2, 3, 1, 0, 4, 4, 1, 0, 3, 2, 1, 3, 2, 0, 1, 2, 4, 3, 4]","[1.0, 0.3229341075857635, 0.17205215064567386, 0.0, 0.324257803434898]","[1.0, 1.0, 1.0, 0.0, 0.0]"
"[2, 2, 3, 0, 3, 1, 2, 0, 4, 4, 1, 1, 4, 0, 3, 3, 0, 2, 1, 4]","[1.0, 0.0, 0.7010155663584935, 0.7272537702804973, 0.11516072930160307]","[1.0, 0.0, 1.0, 1.0, 0.0]"
"[2, 1, 2, 0, 3, 0, 1, 0, 2, 1, 3, 2, 4, 3, 1, 3, 4, 4, 4, 0]","[0.6055783518622236, 0.5531915702743105, 1.0, 0.4924329502642121, 0.0]","[0.0, 1.0, 1.0, 1.0, 0.0]"
"[1, 0, 3, 0, 1, 3, 4, 3, 2, 0, 2, 4, 2, 1, 2, 3, 1, 4, 4, 0]","[0.0011771351137173306, 0.5559457251264531, 1.0, 0.4539133974966703, 0.0]","[0.0, 1.0, 1.0, 1.0, 0.0]"
"[4, 1, 3, 1, 3, 1, 0, 1, 4, 2, 0, 3, 0, 2, 0, 4, 2, 4, 3, 2]","[0.6137777301382252, 1.0, 0.46675329758862655, 0.0, 0.22020857527245893]","[1.0, 1.0, 0.0, 0.0, 1.0]"
"[2, 1, 2, 0, 4, 2, 1, 0, 3, 1, 3, 3, 0, 0, 4, 1, 3, 4, 2, 4]","[1.0, 0.6746132666827955, 0.4627594406232824, 0.5945526391555858, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0]"
"[0, 4, 0, 3, 1, 4, 3, 2, 3, 4, 3, 2, 2, 1, 1, 4, 2, 1, 0, 0]","[0.3758284401611598, 0.5575078386263648, 1.0, 0.8959341602180975, 0.0]","[0.0, 1.0, 1.0, 1.0, 1.0]"
"[3, 3, 4, 1, 0, 4, 4, 1, 1, 2, 0, 0, 4, 3, 3, 2, 0, 1, 2, 2]","[0.8509199575915882, 4.883965804061169e-10, 0.0, 1.0, 0.25088728164736]","[1.0, 1.0, 0.0, 1.0, 1.0]"
"[1, 0, 3, 3, 4, 0, 4, 2, 3, 4, 3, 1, 2, 0, 1, 0, 4, 2, 2, 1]","[0.7059027596343956, 0.2700641389650023, 0.19618534502341345, 1.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 1.0]"
"[0, 2, 1, 2, 3, 2, 3, 3, 4, 2, 4, 0, 4, 0, 4, 1, 1, 3, 0, 1]","[0.47848090312040953, 0.34144693339338666, 1.0, 0.3956300039806319, 0.0]","[0.0, 0.0, 1.0, 1.0, 1.0]"
"[4, 0, 1, 0, 2, 4, 2, 3, 3, 0, 3, 2, 3, 4, 4, 2, 0, 1, 1, 1]","[1.0, 0.01676625742024427, 0.9730275319511864, 0.5825503580889668, 0.0]","[1.0, 0.0, 1.0, 1.0, 1.0]"
"[1, 4, 0, 2, 0, 1, 3, 1, 3, 2, 4, 0, 0, 4, 2, 2, 3, 3, 1, 4]","[1.0, 0.0, 0.7435121278397878, 0.25041746776325285, 0.26183375755398175]","[1.0, 0.0, 1.0, 1.0, 0.0]"
"[2, 3, 3, 1, 4, 2, 4, 1, 0, 0, 4, 4, 3, 2, 0, 1, 0, 2, 3, 1]","[1.0, 0.45499672743830105, 0.5309411561046486, 0.0, 0.24506292190195303]","[1.0, 0.0, 1.0, 0.0, 1.0]"
"[3, 3, 4, 2, 2, 4, 1, 1, 0, 2, 0, 0, 4, 3, 3, 4, 2, 1, 1, 0]","[0.016057229206580075, 0.0, 1.0, 0.7518958097044645, 0.32389039441042855]","[0.0, 0.0, 1.0, 1.0, 1.0]"
"[1, 2, 3, 2, 1, 4, 3, 4, 4, 4, 2, 1, 0, 1, 2, 3, 0, 0, 3, 0]","[0.4097107648986917, 0.7350411638478898, 1.0, 0.35798057152672774, 0.0]","[0.0, 1.0, 1.0, 0.0, 1.0]"
"[0, 3, 0, 4, 0, 1, 2, 1, 0, 2, 4, 2, 3, 4, 3, 3, 1, 4, 1, 2]","[1.0, 0.2308791758720396, 0.3964118711146465, 0.27838818647931834, 0.0]","[1.0, 0.0, 0.0, 1.0, 1.0]"
"[2, 4, 3, 0, 2, 2, 1, 4, 1, 1, 2, 4, 3, 4, 0, 3, 1, 3, 0, 0]","[0.32102211817788506, 0.35258670048726776, 1.0, 0.2894227131845691, 0.0]","[0.0, 1.0, 1.0, 1.0, 1.0]"
"[1, 3, 3, 0, 4, 4, 1, 3, 2, 2, 4, 4, 1, 0, 0, 2, 3, 0, 1, 2]","[1.0, 2.68907433975346e-11, 0.0, 0.39030266258584084, 0.35577232732017305]","[1.0, 0.0, 0.0, 1.0, 1.0]"
"[1, 1, 2, 4, 3, 2, 3, 4, 4, 0, 4, 3, 0, 0, 0, 2, 1, 3, 1, 2]","[1.0, 0.18625225554593647, 0.06305508016696751, 0.23442356999495326, 0.0]","[1.0, 0.0, 0.0, 1.0, 1.0]"
"[3, 4, 2, 1, 3, 0, 4, 2, 1, 1, 0, 1, 0, 3, 4, 4, 2, 2, 0, 3]","[0.20268189400827902, 1.0, 0.7353154513494591, 0.0, 0.3767502281327236]","[0.0, 1.0, 1.0, 0.0, 1.0]"
"[3, 1, 2, 3, 3, 2, 0, 1, 2, 0, 4, 0, 1, 3, 2, 0, 4, 1, 4, 4]","[0.43522669996263974, 3.12819906651309e-10, 1.0, 0.938216553186478, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]"
"[0, 3, 0, 3, 2, 2, 1, 3, 3, 0, 4, 1, 4, 2, 0, 4, 1, 4, 1, 2]","[0.894806854845127, 0.4368624345843303, 0.4802937404991605, 1.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 1.0]"
"[1, 4, 3, 4, 3, 3, 2, 0, 2, 4, 4, 0, 2, 1, 0, 3, 1, 2, 1, 0]","[0.0, 0.958200142759495, 0.471036919772261, 1.0, 0.47825244748305296]","[0.0, 0.0, 1.0, 1.0, 1.0]"
"[3, 0, 1, 2, 1, 2, 0, 3, 4, 1, 0, 4, 2, 3, 3, 2, 4, 1, 0, 4]","[0.13845059830529685, 0.5060594484046229, 1.0, 0.6597251300024964, 0.0]","[0.0, 1.0, 1.0, 1.0, 0.0]"
"[0, 3, 2, 4, 3, 3, 1, 2, 3, 4, 0, 0, 1, 2, 1, 4, 4, 1, 0, 2]","[0.2805102698666407, 0.30627981123828246, 0.10497476912274845, 1.0, 0.0]","[0.0, 1.0, 0.0, 1.0, 1.0]"
"[1, 1, 3, 2, 0, 1, 1, 3, 4, 4, 0, 3, 0, 4, 3, 2, 2, 2, 0, 4]","[0.4067517139459166, 1.0, 0.5349405384808351, 0.7336991063360858, 0.0]","[0.0, 1.0, 1.0, 1.0, 0.0]"
"[4, 0, 1, 1, 3, 0, 0, 1, 2, 2, 1, 4, 4, 2, 3, 3, 4, 0, 3, 2]","[0.6432529658319756, 1.0, 0.0, 0.4222658421241409, 0.029600121269875716]","[1.0, 1.0, 0.0, 0.0, 1.0]"
"[2, 2, 1, 0, 2, 4, 1, 1, 4, 0, 0, 0, 3, 2, 3, 3, 4, 1, 4, 3]","[1.0, 0.14168305716114796, 0.8497688367965214, 0.19245737785685627, 0.0]","[1.0, 1.0, 1.0, 0.0, 0.0]"
"[4, 1, 3, 0, 1, 1, 4, 3, 2, 1, 4, 3, 0, 2, 3, 4, 0, 2, 2, 0]","[0.2986169425588989, 1.0, 0.01690225185018737, 0.5483223098000717, 0.0]","[0.0, 1.0, 0.0, 1.0, 1.0]"
"[0, 1, 1, 4, 2, 4, 0, 0, 3, 1, 3, 2, 1, 3, 2, 4, 2, 0, 3, 4]","[0.5421563062564023, 1.0, 0.9603689181681914, 0.0, 0.33894846954779756]","[1.0, 1.0, 1.0, 0.0, 0.0]"
"[2, 1, 3, 3, 0, 4, 0, 2, 1, 4, 0, 1, 3, 0, 1, 4, 3, 2, 4, 2]","[1.0, 0.6149462105193823, 0.35064110263742254, 0.5951876017009554, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0]"
"[2, 1, 0, 0, 1, 4, 2, 3, 2, 3, 2, 3, 4, 0, 1, 0, 1, 4, 4, 3]","[0.35116827344010787, 0.16148857155201193, 1.0, 0.1385698983671734, 0.0]","[1.0, 1.0, 1.0, 0.0, 0.0]"
"[4, 1, 4, 1, 2, 0, 0, 3, 4, 3, 3, 2, 1, 1, 2, 0, 0, 4, 2, 3]","[0.7723464966721385, 1.0, 0.42948029133851673, 0.0, 0.36063774566755763]","[1.0, 1.0, 0.0, 0.0, 1.0]"
"[4, 4, 1, 0, 3, 3, 3, 0, 1, 4, 1, 2, 4, 1, 2, 0, 2, 2, 0, 3]","[0.7032867120083068, 1.0, 0.6666381300024035, 0.0, 0.3051346523511858]","[0.0, 1.0, 1.0, 0.0, 1.0]"
"[4, 2, 4, 1, 0, 3, 0, 3, 0, 1, 3, 2, 4, 2, 0, 1, 1, 3, 2, 4]","[1.0, 0.059722031850888084, 0.00476090442044815, 8.5257061872998e-11, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0]"
"[4, 3, 1, 4, 0, 2, 4, 2, 2, 1, 3, 1, 0, 4, 1, 0, 0, 3, 3, 2]","[1.0, 0.9310992106329206, 0.0, 0.42121981954493043, 0.049064305322895]","[1.0, 1.0, 0.0, 0.0, 1.0]"
"[3, 4, 4, 1, 1, 1, 0, 3, 3, 0, 2, 2, 0, 1, 0, 2, 4, 2, 3, 4]","[1.0, 0.7379717448808327, 0.6819540621941493, 0.0, 0.3659004619527286]","[1.0, 1.0, 1.0, 0.0, 0.0]"
"[3, 2, 2, 2, 1, 1, 4, 4, 1, 0, 2, 3, 3, 0, 0, 3, 1, 0, 4, 4]","[0.3478642435005344, 0.1455357358374881, 1.0, 0.30813562977938064, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]"
"[2, 2, 2, 0, 1, 3, 4, 4, 1, 3, 3, 0, 4, 2, 1, 3, 4, 0, 1, 0]","[0.3521892913977657, 0.2948634600244322, 1.0, 0.47627210602885567, 0.0]","[0.0, 0.0, 1.0, 1.0, 1.0]"
"[3, 0, 1, 0, 4, 4, 4, 1, 1, 2, 2, 3, 3, 2, 2, 1, 4, 3, 0, 0]","[0.4128729415019592, 0.8074203361212969, 1.0, 0.6896194865098896, 0.0]","[0.0, 1.0, 1.0, 1.0, 1.0]"
"[0, 2, 0, 1, 0, 2, 4, 4, 1, 3, 4, 3, 3, 4, 0, 2, 1, 2, 1, 3]","[1.0, 0.24697035096682735, 0.4403317499646325, 0.2849517456850997, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0]"
"[3, 0, 3, 3, 3, 1, 2, 4, 2, 4, 0, 1, 4, 2, 0, 4, 2, 1, 1, 0]","[0.37115921526048723, 0.11208662295374706, 0.5628478637538391, 1.0, 0.0]","[0.0, 0.0, 1.0, 1.0, 1.0]"
"[4, 0, 2, 0, 0, 3, 2, 1, 4, 2, 3, 4, 0, 2, 1, 1, 1, 4, 3, 3]","[1.0, 0.14645851522022765, 0.8424299804486748, 0.11802107600258982, 0.0]","[1.0, 1.0, 1.0, 0.0, 1.0]"
"[0, 4, 0, 3, 1, 4, 2, 3, 3, 1, 0, 2, 1, 2, 2, 4, 0, 1, 4, 3]","[0.715007162473697, 0.5882744328286009, 1.0, 0.0, 0.418798097297982]","[1.0, 1.0, 1.0, 0.0, 0.0]"
"[4, 3, 1, 3, 4, 2, 0, 2, 0, 4, 1, 2, 0, 2, 4, 1, 1, 3, 0, 3]","[0.16991277129141732, 0.631771557011408, 1.0, 0.0, 0.27560984301220826]","[0.0, 1.0, 1.0, 0.0, 1.0]"
"[4, 2, 3, 2, 2, 3, 0, 1, 0, 4, 3, 0, 0, 1, 3, 4, 4, 1, 2, 1]","[1.0, 0.2082709562421536, 0.3708679320250457, 0.5796748191013509, 0.0]","[1.0, 0.0, 0.0, 1.0, 1.0]"
"[2, 2, 1, 3, 4, 1, 0, 4, 0, 3, 0, 2, 2, 1, 4, 3, 0, 1, 3, 4]","[0.030590347202345786, 0.19137248173718785, 1.0, 0.07129026992803195, 0.0]","[1.0, 1.0, 1.0, 0.0, 0.0]"
"[4, 4, 0, 0, 2, 3, 2, 4, 2, 2, 4, 1, 1, 1, 1, 0, 3, 3, 0, 3]","[0.42456802317845693, 0.4768578936061505, 1.0, 0.247257603778315, 0.0]","[0.0, 1.0, 1.0, 0.0, 1.0]"
"[4, 3, 0, 3, 1, 2, 3, 4, 0, 4, 2, 4, 1, 3, 1, 2, 0, 0, 1, 2]","[0.6093268169889399, 0.3870936418072343, 0.0, 1.0, 0.20174505743590498]","[1.0, 0.0, 0.0, 1.0, 1.0]"
"[1, 3, 4, 0, 2, 1, 3, 1, 3, 2, 0, 1, 2, 2, 0, 4, 3, 4, 4, 0]","[0.4693513451058097, 0.9899352317625111, 1.0, 1.931485934702945e-09, 0.0]","[0.0, 1.0, 1.0, 1.0, 0.0]"
"[1, 4, 4, 2, 4, 0, 1, 2, 0, 1, 3, 3, 2, 3, 1, 0, 4, 2, 3, 0]","[0.0, 1.0, 0.32289997788156694, 0.050925111001045756, 0.2709843910656398]","[0.0, 1.0, 1.0, 0.0, 1.0]"
"[2, 0, 4, 3, 3, 1, 0, 1, 2, 2, 0, 2, 4, 3, 0, 1, 4, 1, 4, 3]","[0.7102992678127503, 0.0, 1.0, 0.444147047336534, 0.1680631405734417]","[1.0, 1.0, 1.0, 0.0, 0.0]"
"[0, 4, 3, 1, 4, 2, 0, 3, 0, 4, 3, 2, 2, 2, 0, 1, 1, 3, 1, 4]","[1.0, 0.06769301149026921, 0.8554603362339479, 0.0, 0.03212906524426713]","[1.0, 0.0, 1.0, 1.0, 0.0]"
"[4, 4, 3, 0, 3, 1, 1, 1, 4, 0, 2, 3, 0, 2, 4, 1, 2, 2, 3, 0]","[0.0, 0.7932577592302981, 1.0, 0.4278632890390268, 0.45396295891471716]","[0.0, 1.0, 1.0, 0.0, 1.0]"
